Question,Option,X,Y
1,A,46,72
1,B,76,72
1,C,106,72
1,D,136,72
1,E,168,72
2,A,46,102
2,B,76,104
2,C,108,104
2,D,138,104
2,E,168,104
3,A,46,134
3,B,76,134
3,C,108,134
3,D,138,134
3,E,168,134
4,A,46,164
4,B,76,164
4,C,108,164
4,D,138,164
4,E,168,164
5,A,46,194
5,B,78,194
5,C,108,196
5,D,138,196
5,E,168,196
6,A,46,226
6,B,76,226
6,C,108,226
6,D,138,226
6,E,168,226
7,A,46,256
7,B,76,256
7,C,108,256
7,D,138,256
7,E,168,256
8,A,46,286
8,B,76,286
8,C,108,286
8,D,138,286
8,E,168,288
9,A,46,316
9,B,77,318
9,C,108,318
9,D,138,318
9,E,168,318
10,A,46,348
10,B,78,348
10,C,108,348
10,D,138,348
10,E,168,348
11,A,44,378
11,B,78,378
11,C,108,378
11,D,138,378
11,E,168,378
12,A,44,408
12,B,78,410
12,C,108,410
12,D,138,410
12,E,168,410
13,A,46,440
13,B,78,440
13,C,108,440
13,D,138,440
13,E,170,440
14,A,48,470
14,B,78,470
14,C,108,470
14,D,138,470
14,E,168,472
15,A,48,502
15,B,78,502
15,C,108,502
15,D,138,501
15,E,168,502
16,A,46,532
16,B,78,532
16,C,108,532
16,D,138,532
16,E,168,532
17,A,46,562
17,B,76,562
17,C,108,562
17,D,138,564
17,E,168,564
18,A,46,594
18,B,78,594
18,C,108,594
18,D,138,594
18,E,168,594
19,A,46,624
19,B,78,624
19,C,108,624
19,D,138,624
19,E,168,624
20,A,46,654
20,B,78,654
20,C,108,654
20,D,138,654
20,E,168,654
21,A,48,684
21,B,78,684
21,C,108,686
21,D,138,686
21,E,168,686
22,A,48,714
22,B,78,714
22,C,108,714
22,D,138,716
22,E,170,716
23,A,48,746
23,B,78,746
23,C,108,746
23,D,138,746
23,E,168,746
24,A,46,776
24,B,78,776
24,C,108,776
24,D,140,776
24,E,170,776
25,A,48,806
25,B,78,806
25,C,108,806
25,D,140,806
25,E,170,806
26,A,228,74
26,B,258,74
26,C,288,74
26,D,318,74
26,E,348,74
27,A,228,104
27,B,258,104
27,C,288,104
27,D,318,104
27,E,348,104
28,A,228,134
